Id,Start,End,Values
4b1a35,1,6,5.710880930830793;46.41412353515625 5.629325866699219;46.2916849427304 5.529874475990854;46.23536682128906 5.3876953125;46.15924382613877 5.241096496582031;46.0905327231197 5.088592529296875;46.029176873675844 
406a98,1,6,-1.2979888916015625;52.21531677246094 -1.3406459263392776;52.18287063857256 -1.395734514508888;52.1609910867982 -1.4476776123046875;52.14088439941406 -1.499786376953125;52.121795654296875 -1.541900634765625;52.10444641113281 
4005bc,4,5,11.512404221754807;49.20808410644531 11.435711200420672;49.22978210449219 
3985a4,1,5,9.085693359375;42.801727294921875 9.160849831321023;42.75791931152344 9.263846657492898;42.70367431640625 9.340875799005682;42.67698669433594 9.437131014737215;42.648284912109375 
406134,1,6,7.204353332519531;47.65338134765625 7.040686974158653;47.709433345471396 6.873802185058594;47.766082763671875 6.706809997558594;47.822479248046875 6.538856506347656;47.878692626953125 6.3724822998046875;47.93403625488281 
4baac3,1,6,7.466149581106085;50.3818359375 7.644183184649493;50.36165399066472 7.831011320415295;50.34022521972656 8.02233244243421;50.31797790527344 8.211612185916385;50.29564291743909 8.398379764041385;50.272832320908364 
7102e1,1,5,5.7072601318359375;46.15952313956568 5.796592712402344;46.11082949880826 5.886796160442073;46.061279296875 5.969461580602134;46.00291442871094 6.048643530868903;45.9437255859375 
484163,1,5,5.369724818638393;52.318849725238344 5.5304718017578125;52.28572082519531 5.7236480712890625;52.24580383300781 5.90789794921875;52.20680236816406 6.1505126953125;52.15576171875 
4b18fe,2,4,3.507737379807692;48.31288146972656 3.355759840745192;48.33856201171875 3.1880070612980766;48.367401123046875 
3c4ad3,1,5,8.188862047697368;49.944122314453125 8.275162546258223;49.9647216796875 8.35278962787829;49.98371887207031 8.421960127981086;50.000518798828125 8.48426612647804;50.01549155025159 
7c4929,1,6,8.627303274054276;49.983489990234375 8.442547772381756;50.02889859474311 8.25767115542763;50.07403564453125 8.072724213471284;50.11874441373146 7.883284285261825;50.16417939784163 7.6983803196957235;50.208160400390625 
5082c8,1,2,8.990337665264422;47.44254936606197 9.133371206430288;47.42174051575741 
4ca1b9,1,4,3.2663399832589284;44.99336242675781 3.3319389529344514;44.86513816704184 3.349456787109375;44.830718994140625 3.4057617187500004;44.72073312533104 
391e04,4,5,6.658041817801339;43.48765745001324 6.669551304408482;43.47769527112023 
45ac45,1,6,9.492982563219572;49.662872314453125 9.540614077919408;49.771270751953125 9.588896098889801;49.88067626953125 9.635900548986486;49.99398441637977 9.65416160789696;50.110318458686436 9.673100521689966;50.22642517089844 
4d00f6,1,6,5.2619822432355186;46.00749206542969 5.1277313232421875;45.94231039790784 4.985939025878906;45.87345963817532 4.845372641958842;45.80470275878906 4.699736804496951;45.73301696777344 4.563613519435976;45.665771484375 
4b9852,1,6,9.729333174856086;49.956298828125 9.57584690403294;50.02647787837659 9.422366493626644;50.095733642578125 9.266028153268914;50.16444396972656 9.108111407305744;50.23344912771451 8.948661185599661;50.30192746954449 
4b18f3,1,5,6.678349421574518;48.63514709472656 6.7591975285456725;48.53865051269531 6.840579384251644;48.44076900158898 6.923988743832236;48.3401230634269 7.005333533653846;48.24156188964844 
44d068,1,5,3.4410961254222974;49.95003910387977 3.362756026418585;49.84259033203125 3.2837556537828947;49.73350524902344 3.20779097707648;49.62968444824219 3.102553518194901;49.528656005859375 
4b187d,1,5,4.618201622596153;48.05675959182998 4.42474365234375;48.10111999511719 4.154944786658653;48.16227722167969 4.0594482421875;48.18380064883474 3.8566237229567304;48.22906494140625 
4ba8eb,1,5,11.05137875205592;49.8533935546875 11.228398503483954;49.835613703323624 11.412716427364865;49.81676004700741 11.59881591796875;49.797301211599574 11.780018053556743;49.77818298339844 
4951cd,1,5,4.496006321262669;50.161758681475106 4.344350453969595;50.10058904098252 4.168940363703547;50.05426956435381 3.9958314637880066;50.01027769961599 3.827145225123355;49.96746826171875 
a999d2,1,5,-0.9419291728251551;51.52079772949219 -1.0993009000210918;51.55279541015625 -1.2711478568411962;51.58525085449219 -1.450492240287133;51.618896484375 -1.637185586465364;51.6536865234375 
484f71,1,5,4.534293038504464;52.56320242154396 4.448089599609375;52.615631103515625 4.307817731584822;52.67981577727754 4.215218680245536;52.722178313691735 4.101510184151786;52.773944402145126 
473411,1,6,6.361005510602679;52.200374279992054 6.203979492187501;52.18882932501324 6.041303362165179;52.17658608646716 5.8528900146484375;52.16221618652344 5.663909912109375;52.14756774902344 5.475616455078125;52.13250732421875 
34504d,1,3,-3.81903076171875;40.37535095214844 -3.801513671875;40.37150573730469 -3.77838134765625;40.37022399902344 
4ca217,1,6,-1.632489885602638;52.38090385824947 -1.5500640869140625;52.299957275390625 -1.4677734375;52.2188089661679 -1.3714861188615828;52.14921337063029 -1.2740325927734375;52.0792236328125 -1.182708740234375;52.01348876953125 
4baa44,1,5,8.423188862047697;49.91203308105469 8.322360390111019;49.887542724609375 8.224856728001644;49.86378479003906 8.128249709670609;49.865686448953916 8.149470279091283;49.918304443359375 
